"X_REC_SPEC","PlantMaterialKey","SalesOrganization","DistributionChannel","Material","LanguageCode","LanguageCodeDesc","SkuType","DistributionChainMaterialStatus","ItemCategoryGroup","ValidDays","NewProductFlag","EndUserRequired","ReturnDirectToVendor","ReturnLimitations","ManufacturerPartNumber","MfrMaterialKey","Manufacturer","ManufacturerDesc","MaterialType","Weight","WeightUnit","DealerPrice","RetailPrice","Cat1Desc","Subcategory","Plant","Height","Width","Length","AbcIndicator","NoReturnsFlag","OversizeFlag","MediumDesc","LongDesc1","UpcEan","MasterVendor","MasterVendorName","PromoFlag","PromoExpireDate","PromoFreePartNumber","PromoMinimumQuantity","PromoFreeQuantity","PromoPrice","PromoEffectiveDate","PromoType","EcomFreePartNumber","EcomFreeQuantity","EcomMinimumQuantity","EcomSpecPrice","EcomEffDate","EcomExpireDate","EcomPromoType","WebVisibleFlag","ClassCode","CpuCd","CurrencyCode","HeavyWeightFlag","ShipCartonFlag","PartType","DealerFlag","BackOrderSwitch","NoReturnFlag","IsESDProduct","RefurbishedFlag","PalletQuantity","DirectShipOrderable","VendorInfoRequired","RestrictedFlag","WarrantyProduct","WeightDetails","SubMaterial","SubRule","QuantityBreakFlag","StatusCD","InvisibleFlag","Webswitch","DeleteFlag","RecordDate","UpdatedDate","HasModified","WebVisibleFlagMode","DeleteFlagMode","FiscalClass","EndlessAisleFlag","OriginalMaterial","VEN_END_USER_FLAG","DiscountIndicator","ResellerFlag","VMF_AUTH_REQ"
"US01@@9500@@10@@CN0803","US01@@CN0803","9500","10","CN0803","","","","","","","","N","","","P-OA-2NXXA06D2","929Y@@P-OA-2NXXA06D2@@","929Y","SAMSUNG PRINT SERVICES","","0","EA","58","125.99","12","1221","US01","","","","X","","","2YR NBD ONSITE MNT 5835","2YR NBD ONSITE MNT 5835","6.36E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","11/29/2017 11:27","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@3V6737","US01@@3V6737","9500","10","3V6737","","","","","","","","N","","","SM-T580NZWAXAR","1757@@SM-T580NZWAXAR@@","1757","SAMSUNG COMMERCIAL TABLET","","1.7","EA","298","335.99","00","0011","US01","","","","B","","","GALAXY TAB A 10.1IN WIFI WHITE","GALAXY TAB A 10.1IN WIFI WHITE","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","SYST","","US01@@1.7@@EA","","","","","","Y","1","12/31/2017 15:11","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CN0802","US01@@CN0802","9500","10","CN0802","","","","","","","","N","","","P-OA-1NXXA06D1","929Y@@P-OA-1NXXA06D1@@","929Y","SAMSUNG PRINT SERVICES","","0","EA","23.25","49.99","12","1221","US01","","","","X","","","1YR NBD ONSITE MNT 5835","1YR NBD ONSITE MNT 5835","6.36E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","11/29/2017 11:27","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@2KL762","US01@@2KL762","9500","10","2KL762","","","","","","","","N","","","STN-WM55H","1763@@STN-WM55H@@","1763","SAMSUNG COMMERICAL LARGE FORMAT","","92.15","EA","755","975","04","0481","US01","","","","N","","","55IN FLIP ALL-IN-ONE FLIPCHART","55IN FLIP ALL-IN-ONE FLIPCHART STAND/CART","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","N","","","","","","","","","","","99999","","","CPNT","","US01@@92.15@@EA","","","","","","Y","1","1/9/2018 2:54","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@2DA134","US01@@2DA134","9500","10","2DA134","","","","","","","","N","","","PM49H","1763@@PM49H@@I","1763","SAMSUNG COMMERICAL LARGE FORMAT","I","40","EA","1016","1383","03","0303","US01","","","","G","","","DUNKIN ONLY 49IN COMMERCIAL","DUNKIN ONLY 49IN COMMERCIAL LED LCD DISP","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","G","","","","","I","","","","","","99999","","","MNTR","","US01@@40@@EA","","","","","A","Y","1","12/7/2017 6:36","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@9X3381","US01@@9X3381","9500","10","9X3381","","","","","","","","N","","","PM43H","1763@@PM43H@@C","1763","SAMSUNG COMMERICAL LARGE FORMAT","C","28","EA","876","1192","03","0303","US01","","","","A","","","43IN LED 3D 1920X1080 3000:1","43IN LED 3D 1920X1080 3000:1 PM43H 1DVI/HDMI 8MS SPKR TAA","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","A","","","","","C","","","","","","99999","","","MNTR","","US01@@28@@EA","","","","","","Y","1","12/31/2017 15:11","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@9X3353","US01@@9X3353","9500","10","9X3353","","","","","","","","N","","","P-LM-NE1X14HE","296U@@P-LM-NE1X14HE@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","23.5","31","12","1221","US01","","","","X","","","2YR FT CONTRACT","2YR FT CONTRACT INCLUDES MFG STD 2YR WARR","8.81E+12","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","6/9/2017 13:11","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@GA6655","US01@@GA6655","9500","10","GA6655","","","","","","","","N","","","SOL-COTV2","582Y@@SOL-COTV2@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","105.5","171.99","99","9950","US01","","","","X","","","1YR COUNTHRU PRO 2","1YR COUNTHRU PRO 2 10DEVICE LICENSE","6.36E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","VLIC","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:29","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@YW7016","US01@@YW7016","9500","10","YW7016","","","","","","","","N","","","SOL-ESL2M2","582Y@@SOL-ESL2M2@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","65","93.99","99","9950","US01","","","","X","","","2YR MNT AND SVC BCPS SECUTHRU","2YR MNT AND SVC BCPS SECUTHRU LITE 2","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","MLIC","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:30","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@YV9754","US01@@YV9754","9500","10","YV9754","","","","","","","","N","","","SOL-PTE1P1/E10","582Y@@SOL-PTE1P1/E10@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","2363","3000","40","4030","US01","","","","X","","","TRAINING TRAIN THE TRAINER PER","TRAINING TRAIN THE TRAINER PER DAY","8.81E+12","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","CLAS","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:31","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@YV9728","US01@@YV9728","9500","10","YV9728","","","","","","","","N","","","SOL-PHS1S2","582Y@@SOL-PHS1S2@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","560.5","695","15","1539","US01","","","","X","","","2YR PRINTERON HOSTED SERVER ON","2YR PRINTERON HOSTED SERVER ON THE CLOUD FOR MOBILE PRINTING","8.81E+12","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","LICS","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:29","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@YV9725","US01@@YV9725","9500","10","YV9725","","","","","","","","N","","","SOL-PHS1D2","582Y@@SOL-PHS1D2@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","283.5","348","15","1539","US01","","","","X","","","2YR PRINTER LICS FOR HOSTED","2YR PRINTER LICS FOR HOSTED SERVER ON THE CLOUD","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","LICS","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:29","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@XQ6665","US01@@XQ6665","9500","10","XQ6665","","","","","","","","N","","","SOL-DMP1M2/SEE","582Y@@SOL-DMP1M2/SEE@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","80","130.99","99","9950","US01","","","","X","","","2YR ADDITIONAL MNT PACKAGE","2YR ADDITIONAL MNT PACKAGE BUSINESS CORE DOC MGMT PACK","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","MLIC","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:29","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@XQ6663","US01@@XQ6663","9500","10","XQ6663","","","","","","","","N","","","SOL-DMP1D1/SEE","582Y@@SOL-DMP1D1/SEE@@","582Y","SAMSUNG SOLUTION SOFTWARE","","0","EA","231","383.99","99","9950","US01","","","","X","","","1YR MNT/PHONE SUP SECURITY","1YR MNT/PHONE SUP SECURITY LOGIN MANAGER/SMARTHRU/CLOUD","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SLIC","","US01@@0@@EA","","","","","","Y","1","6/13/2016 8:29","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@6C0362","US01@@6C0362","9500","10","6C0362","","","","","","","","N","","","P-LM-AEWX72HP","296U@@P-LM-AEWX72HP@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","982","1351","12","1221","US01","","","","X","","","4YR NEXT DAY WHITE GLOVE FAST","4YR NEXT DAY WHITE GLOVE FAST TRACK SERVICE FOR 75IN OUTDOORLFD","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","4/18/2017 15:19","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CQ7800","US01@@CQ7800","9500","10","CQ7800","","","","","","","","N","","","P-LM-2C3X26C","296U@@P-LM-2C3X26C@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","47","66.67","12","1221","US01","","","","X","","","2YR EXT WARR SHIP IN SVC","2YR EXT WARR SHIP IN SVC CONTRACT (+MFG 1YR WARR)","7.30E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","4/18/2017 15:15","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CW2267","US01@@CW2267","9500","10","CW2267","","","","","","","","N","","","P-LM-2C3X26A","296U@@P-LM-2C3X26A@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","47","66.67","12","1221","US01","","","","X","","","2YR EXT WARR SHIP IN SVC","2YR EXT WARR SHIP IN SVC CONTRACT (+MFG 3YR WARR)","7.30E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","4/18/2017 15:14","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CQ7799","US01@@CQ7799","9500","10","CQ7799","","","","","","","","N","","","P-LM-2C3X23C","296U@@P-LM-2C3X23C@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","23.5","33.33","12","1221","US01","","","","X","","","2YR EXT WARR SHIP IN SVC","2YR EXT WARR SHIP IN SVC CONTRACT (+MFG 1YR WARR)","7.30E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","8/29/2017 2:53","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CQ7798","US01@@CQ7798","9500","10","CQ7798","","","","","","","","N","","","P-LM-1C3X30C","296U@@P-LM-1C3X30C@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","29.25","41.67","12","1221","US01","","","","X","","","1YR EXT WARR SHIP IN SVC","1YR EXT WARR SHIP IN SVC CONTRACT (+MFG 1YR WARR)","7.30E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","4/18/2017 15:15","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@CQ7797","US01@@CQ7797","9500","10","CQ7797","","","","","","","","N","","","P-LM-1C3X26C","296U@@P-LM-1C3X26C@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","23.5","33.33","12","1221","US01","","","","X","","","1YR EXT WARR SHIP IN SVC","1YR EXT WARR SHIP IN SVC CONTRACT (+MFG 1YR WARR)","7.30E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","4/18/2017 15:15","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@8Q2418","US01@@8Q2418","9500","10","8Q2418","","","","","","","","N","","","P-LE-1PXX15S","296U@@P-LE-1PXX15S@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","139","185","12","1221","US01","","","","X","","","1YR EXTD WARR FOR SMART LED","1YR EXTD WARR FOR SMART LED SIGNAGE W/ 7000-9999.99 USD MAP","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","4/19/2017 14:26","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@4Q2435","US01@@4Q2435","9500","10","4Q2435","","","","","","","","N","","","HG24NE690AFXZA","U482@@HG24NE690AFXZA@@","U482","SAMSUNG COMMERCIAL HOSPITALITY LCD","","11.36","EA","252.5","267","03","0305","US01","","","","B","","","SAMSUNG HOSPITALITY TV","SAMSUNG HOSPITALITY TV HG24NE690AFXZA","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","MNTR","","US01@@11.36@@EA","","","","","","Y","1","9/4/2017 4:36","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@2QA142","US01@@2QA142","9500","10","2QA142","","","","","","","","N","","","HG43NE477SFXZA/R","236Y@@HG43NE477SFXZA/R@@I","236Y","SAMSUNG - COMMERCIAL REFURB","I","29.45","EA","342.5","366.1","03","0305","US01","","","","S","","","43IN HOSPITALITY TV","43IN HOSPITALITY TV REBOX REFURB SKU NO RETURNS","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","S","","","","","I","","","","","","99999","","","MNTR","","US01@@29.45@@EA","","","","","A","Y","1","1/12/2018 19:03","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@XP8679","US01@@XP8679","9500","10","XP8679","","","","","","","","N","","","P-NP-3HXXL00","126U@@P-NP-3HXXL00@@","126U","SAMSUNG COMMERCIAL WARRANTY/SERVICE","","0","EA","146","169.99","12","1221","US01","","","","X","","","4YR AD SAMSUNG CHROMEBOOK EDU","4YR AD SAMSUNG CHROMEBOOK EDU ACCIDENT DAMAGE $0-$499 1YR OEM K12","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","3/14/2016 21:49","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@1C4022","US01@@1C4022","9500","10","1C4022","","","","","","","","N","","","DM55E","1763@@DM55E@@","1763","SAMSUNG COMMERICAL LARGE FORMAT","","43","EA","1492","2077","03","0305","US01","","","","A","","","55IN LED 1920X1080 5000:1 DM55E","55IN LED 1920X1080 5000:1 DM55E DSUB/DVI-D/HDMI/D-PORT/USB2.0/MJACK","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","A","","","","","","","","","","","99999","","","MNTR","","US01@@43@@EA","","","","","","Y","1","10/30/2017 11:34","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@1C4019","US01@@1C4019","9500","10","1C4019","","","","","","","","N","","","DM32E","1763@@DM32E@@","1763","SAMSUNG COMMERICAL LARGE FORMAT","","14","EA","572","769","03","0305","US01","","","","A","","","32IN LED 1920X1080 5000:1 DM32E","32IN LED 1920X1080 5000:1 DM32E DSUB/DVI-D/HDMI/USB2.0/STEREO MJACK","8.87E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","A","","","","","","","","","","","99999","","","MNTR","","US01@@14@@EA","","","","","","Y","1","10/30/2017 11:33","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@2U7595","US01@@2U7595","9500","10","2U7595","","","","","","","","N","","","SM-T357TZABTMB","1757@@SM-T357TZABTMB@@I","1757","SAMSUNG COMMERCIAL TABLET","I","0.705","EA","338","0","00","0011","US01","","","","X","","","SAM T357T TAB A B2B KIT","SAM T357T TAB A B2B KIT WHILE SUPPLIES LAST NO RETURNS","","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","I","","","","","","99999","","","SYST","","US01@@.705@@EA","","","","","A","Y","1","2/7/2017 20:05","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@DE1921","US01@@DE1921","9500","10","DE1921","","","","","","","","N","","","P-LM-2N1X32A","296U@@P-LM-2N1X32A@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","145.5","195","12","1221","US01","","","","X","","","5YR FASTTRACK FOR 31-39IN LFD","5YR FASTTRACK FOR 31-39IN LFD NBD EXCHANGE 3YR OEM","7.30E+11","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","6/1/2017 10:39","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@DJ1106","US01@@DJ1106","9500","10","DJ1106","","","","","","","","N","","","P-LM-1N1X46A","296U@@P-LM-1N1X46A@@","296U","SAMSUNG COMMERICAL PRO AV","","0","EA","143","192","12","1221","US01","","","","X","","","4YR FASTTRACK FOR 46-51IN LFD","4YR FASTTRACK FOR 46-51IN LFD NBD EXCHANGE 3YR OEM","","1467","SAMSUNG COMMERCIAL INFORMATION SYS","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","6/1/2017 10:39","1/18/2018 17:39","0","1","","","","","","0","N",""
