"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Bullet 12","Bullet 13","Bullet 14","Bullet 15","Anti-Glare
","Anti-Reflective
","Aspect Ratio
","Filter Color
","Brand ","Brand of Device","Device Model Name
","Device Type
","Display Diagonal
","Durable Screen Protection
","Filter Type
","Orientation
","Privacy
","Scratch Resistant
","Screen Attachment

","Screen Format
","Touch Compatibility
","Viewing Area Dimensions - Metric (width x height)
","Viewing Area Dimensions (width x height)
","Warranty Period
","UPC ","Image ID","Image URL"
"PF133C3B","3M™ Privacy Filter for 13.3"" Standard Laptop","3M™ Privacy Filter for 13.3"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","4:3","Black","3M™","","","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","270 mm x 203 mm","10 5/8"" x 8""","Limited 1-year warranty","00051138752545","1392627","http://multimedia.3m.com/mws/media/1392627Z/pf133c3b-wslaptop.jpg"
"PF121C3B","3M™ Privacy Filter for 12.1"" Standard Laptop","3M™ Privacy Filter for 12.1"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","4:3","Black","3M™","","","Laptops","12.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","247 mm x 186 mm","9 3/4"" x 7 5/16""","Limited 1-year warranty","00051138752552","1392592","http://multimedia.3m.com/mws/media/1392592Z/pf121c3b-wslaptop.jpg"
"PF150C3B","3M™ Privacy Filter for 15"" Standard Laptop","3M™ Privacy Filter for 15"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","4:3","Black","3M™","","","Laptops","15 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","304 mm x 228 mm","12"" x 9""","Limited 1-year warranty","00051128720882","1392692","http://multimedia.3m.com/mws/media/1392692Z/pf150c3b-wslaptop.jpg"
"PF181C4B","3M™ Privacy Filter for 18.1"" Standard Monitor","3M™ Privacy Filter for 18.1"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","5:4","Black","3M™","","","Monitors","18.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","359 mm x 287 mm","14 1/8"" x 11 5/16""","Limited 1-year warranty","00051128723043","1362943","http://multimedia.3m.com/mws/media/1362943Z/pf181c4b-monitor-34871994850-ft-rgb-jpg.jpg"
"PF170C4B","3M™ Privacy Filter for 17"" Standard Monitor","3M™ Privacy Filter for 17"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","5:4","Black","3M™","","","Monitors","17 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","338 mm x 271 mm","13 5/16"" x 10 11/16""","Limited 1-year warranty","00051128742013","1392968","http://multimedia.3m.com/mws/media/1392968Z/pf170c4b-stdmonitor.jpg"
"PF190C4B","3M™ Privacy Filter for 19"" Standard Monitor","3M™ Privacy Filter for 19"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","5:4","Black","3M™","","","Monitors","19 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","377 mm x 302 mm","14 13/16"" x 11 7/8""","Limited 1-year warranty","00051128744802","1362951","http://multimedia.3m.com/mws/media/1362951Z/pf190c4b-monitor-34871994959-ft-rgb-jpg.jpg"
"PF154W1B","3M™ Privacy Filter for 15.4"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 15.4"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:10","Black","3M™","","","Laptops","15.4 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","332 mm x 208 mm","13 1/16"" x 8 3/16""","Limited 1-year warranty","00051128773154","1392697","http://multimedia.3m.com/mws/media/1392697Z/pf154w1b-wslaptop.jpg"
"PF121W1B","3M™ Privacy Filter for 12.1"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 12.1"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:10","Black","3M™","","","Laptops","12.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","261 mm x 164 mm","10 5/16"" x 6 7/16""","Limited 1-year warranty","00051128774342","1392599","http://multimedia.3m.com/mws/media/1392599Z/pf121w1b-wslaptop.jpg"
"PF141W1B","3M™ Privacy Filter for 14.1"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 14.1"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:10","Black","3M™","","","Laptops","14.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","304 mm x 190 mm","11 15/16"" x 7 1/2""","Limited 1-year warranty","00051128774359","1392680","http://multimedia.3m.com/mws/media/1392680Z/pf141w1b-wslaptop.jpg"
"PF170W1B","3M™ Privacy Filter for 17"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 17"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:10","Black","3M™","","","Laptops","17 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","368 mm x 230 mm","14 1/2"" x 9 1/16""","Limited 1-year warranty","00051128774366","1392577","http://multimedia.3m.com/mws/media/1392577Z/pf101w9b-wslaptop.jpg"
"PF201C3B","3M™ Privacy Filter for 20.1"" Standard Monitor","3M™ Privacy Filter for 20.1"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","4:3","Black","3M™","","","Monitors","20.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","409 mm x 307 mm","16 1/8"" x 12 1/8""","Limited 1-year warranty","00051128774960","1362973","http://multimedia.3m.com/mws/media/1362973Z/pf201c3b-monitor-34871994991-ft-rgb-jpg.jpg"
"PF190W1B","3M™ Privacy Filter for 19"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 19"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:10","Black","3M™","","","Monitors","19 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","408 mm x 255 mm","16 1/16"" x 10 1/16""","Limited 1-year warranty","00051128786147","1362961","http://multimedia.3m.com/mws/media/1362961Z/pf190w1b-monitor-34871994967-ft-rgb-jpg.jpg"
"PF201W1B","3M™ Privacy Filter for 20.1"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 20.1"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:10","Black","3M™","","","Monitors","20.1 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","434 mm x 272 mm","17 1/8"" x 10 11/16""","Limited 1-year warranty","00051128786154","1362980","http://multimedia.3m.com/mws/media/1362980Z/pf201w1b-monitor-34871995006-ft-rgb-jpg.jpg"
"PF220W1B","3M™ Privacy Filter for 22"" Widescreen Monitor","3M™ Privacy Filter for 22"" Widescreen Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:10","Black","3M™","","","Monitors","22 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","474 mm x 297 mm","18 11/16"" x 11 11/16""","Limited 1-year warranty","00051128787144","1362993","http://multimedia.3m.com/mws/media/1362993Z/pf220w1b-monitor-34871995055-ft-rgb-jpg.jpg"
"PF133W1B","3M™ Privacy Filter for 13.3"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 13.3"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","","","","","Yes","No","16:10","Black","3M™","","","Laptops","13.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","287 mm x 179 mm","11 5/16"" x 7 1/16""","Limited 1-year warranty","00051128787151","1392641","http://multimedia.3m.com/mws/media/1392641Z/pf133w1b-wslaptop.jpg"
"PF216W1B","3M™ Privacy Filter for 21.6"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 21.6"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","16:10","Black","3M™","","","Monitors","21.6 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Widescreen","No","464 mm x 290 mm","18 1/4"" x 11 7/16""","Limited 1-year warranty","00051128787229","1362987","http://multimedia.3m.com/mws/media/1362987Z/pf216w1b-monitor-34871995048-ft-rgb-jpg.jpg"
"PF213C3B","3M™ Privacy Filter for 21.3"" Standard Monitor","3M™ Privacy Filter for 21.3"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","","","","","Yes","No","4:3","Black","3M™","","","Monitors","21.3 inches","Yes","Frameless","Landscape","Yes","Yes","Attachment Strips and Slide Mount Tabs","Standard","No","433 mm x 325 mm","17"" x 12 3/4""","Limited 1-year warranty","00051128787236","1362981","http://multimedia.3m.com/mws/media/1362981Z/pf213c3b-monitor-34871995014-ft-rgb-jpg.jpg"
