"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Aspect Ratio
","Orientation
","Screen Format
","UPC ","Image URL","Additional Image URL",""
"PFCMM001","3M™ Privacy Filter for Chromebook 11","3M™ Privacy Filter for Chromebook 11","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:9","Landscape","Widescreen","00051128831380","http://multimedia.3m.com/mws/media/1392981Z/pfcmm001-chromebook11.jpg","",""
"AFTMS001","3M™ Anti-Glare Filter for Microsoft® Surface® Pro 3/4","3M™ Anti-Glare Filter for Microsoft® Surface® Pro 3/4","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","High quality, touch-responsive matte surface feels smooth to the touch","Attaches with optically clear adhesive strips ","100% hand inspected for quality assurance","","","","3:2","","","00051128831700","http://multimedia.3m.com/mws/media/1049309O/3mtm-microsoft-surface-pro-3-nvag-horz-film.tif","",""
"UCPAP002","3M™ Ultra Clear Screen Protector for Apple® iPhone® 6 Plus/6S Plus","3M™ Ultra Clear Screen Protector for Apple® iPhone® 6 Plus/6S Plus","Incredible high-resolution clarity","Anti-reflective technology increases display contrast","Smooth, touch-responsive surface","Gives screens a layer of durable protection from dust and scratches","Innovative stay-clean edge technology helps prevent grime from collecting on film edges ","Residue-free adhesive-backed screen protector attaches easily and removes cleanly","100% hand inspected for quality assurance               
","","","","","","","","00051128831816","http://multimedia.3m.com/mws/media/1004260O/iphone-6-plus-6s-plus-34871594585-ft-rgb-150-png.png","",""
"PFNDE001","3M™ Privacy Filter for Dell™ Latitude™ 14 E7450","3M™ Privacy Filter for Dell™ Latitude™ 14 E7450","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128832011","http://multimedia.3m.com/mws/media/1049325O/dell-latitude-black-privacy-filter.tif","",""
"PFNDE002","3M™ Privacy Filter for Dell™ Latitude™ 12 E7250","3M™ Privacy Filter for Dell™ Latitude™ 12 E7250","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128832028","http://multimedia.3m.com/mws/media/1049325O/dell-latitude-black-privacy-filter.tif","",""
"MPPSG001","3M™ Privacy Screen Protector for Samsung® Galaxy S6","3M™ Privacy Screen Protector for Samsung® Galaxy S6","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Effective privacy in portrait mode; change orientation for shareable screen viewing","Thin and touch-sensitive","Incredible image clarity and glossy finish","Custom fit for various phone sizes and brands","Adds an extra layer of protection from everyday scratches and dust","Residue-free adhesive-backed screen protector attaches easily and removes cleanly ","100% hand inspected for quality assurance               
","","","","","Portrait","","00051128004296","http://multimedia.3m.com/mws/media/1074017O/galaxys6-priv-34871707195-frt-jpg.jpg","",""
"PF133W9E","3M™ Privacy Filter for 13.3"" Edge-to-Edge Widescreen Laptop","3M™ Privacy Filter for 13.3"" Edge-to-Edge Widescreen Laptop","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom fit for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128004371","http://multimedia.3m.com/mws/media/1071923O/pf133w9e-34871710330-frt-jpg.jpg","",""
"PFNAP003","3M™ Privacy Filter for 15"" Apple® MacBook Pro® with Retina® Display  (2012-2015)","3M™ Privacy Filter for 15"" Apple® MacBook Pro® with Retina® Display  (2012-2015)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Our thinnest privacy filter designed for today’s thinnest screens","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:10","Landscape","Widescreen","00051128004715","http://multimedia.3m.com/mws/media/821428O/pfnap003-macbook-pro-15-retina-34871754106-ft-rgb-150-png.png","",""
"PFNAP004","3M™ Privacy Filter for 13"" Apple® MacBook Pro® with Retina® Display  (2012-2015)","3M™ Privacy Filter for 13"" Apple® MacBook Pro® with Retina® Display  (2012-2015)","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Our thinnest privacy filter designed for today’s thinnest screens","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:10","Landscape","Widescreen","00051128004722","http://multimedia.3m.com/mws/media/869617O/3mtm-black-priv-filter-for-macbook-pro-w-retina-13-inch-pkg.tif","",""
"AG236W9B","3M™ Anti-Glare Filter for 23.6"" Widescreen Monitor","3M™ Anti-Glare Filter for 23.6"" Widescreen Monitor","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","16:9","","Widescreen","00051128006719","http://multimedia.3m.com/mws/media/1198308O/ag236w9b-3mtm-anti-glare-filter-34871862545.png","",""
"AG238W9B","3M™ Anti-Glare Filter for 23.8"" Widescreen Monitor","3M™ Anti-Glare Filter for 23.8"" Widescreen Monitor","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","16:9","","Widescreen","00051128006726","http://multimedia.3m.com/mws/media/1198312O/ag238w9b-3mtm-anti-glare-filter-34871862560.png","",""
"PFTGG001","3M™ Privacy Filter for Google™ Pixel C","3M™ Privacy Filter for Google™ Pixel C","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Custom fit for some of today’s slimmest tablets","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","1:√2","Landscape","","00051128007006","http://multimedia.3m.com/mws/media/1209075O/pftgg001-googlepixelc-34871883988-ft-rgb.png","",""
"PFNDE003","3M™ Privacy Filter for Dell™ Latitude™ 12 7000 Series 2-in-1  Model 7275","3M™ Privacy Filter for Dell™ Latitude™ 12 7000 Series 2-in-1  Model 7275","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128007037","http://multimedia.3m.com/mws/media/1184066O/wireframelaptop-blackprivacy-bty.jpg","",""
"PFNHP012","3M™ Privacy Filter for HP® Elite X2 1012","3M™ Privacy Filter for HP® Elite X2 1012","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128007310","http://multimedia.3m.com/mws/media/1171015O/universalblackprivacyfilter-raisedbezelscreenfit-bty.jpg","",""
"PFNDE004","3M™ Privacy Filter for Dell™ Latitude™ 13 7000 Series Model 7370","3M™ Privacy Filter for Dell™ Latitude™ 13 7000 Series Model 7370","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128007341","http://multimedia.3m.com/mws/media/1171015O/universalblackprivacyfilter-raisedbezelscreenfit-bty.jpg","",""
"PFNHP013","3MTM Privacy Filter for HP® Elitebook Folio G1","3MTM Privacy Filter for HP® Elitebook Folio G1","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for some of today’s slimmest touchscreen devices","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128007440"," http://multimedia.3m.com/mws/media/1162115O/chromebookpixel-black-privacy-filter-bty-rgb-150-jpg.jpg","",""
"HC215W9B","3M™ High Clarity Privacy Filter for 21.5"" Widescreen Monitor ","3M™ High Clarity Privacy Filter for 21.5"" Widescreen Monitor ","On average, 30% more clarity than standard 3M™ Black Privacy Filters","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Provides premium privacy while maintaining the glossy clarity of your monitor screen","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Glossy finish on both sides for enhanced clarity","Perfectly suited for most of today’s high-resolution monitors and displays","Reduces 35% of blue light transmission from the display","Designed to seamlessly fit within the raised bezel of your device","Adds an extra layer of protection from everyday scratches and dust","Easy to attach, remove and clean","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128007730","http://multimedia.3m.com/mws/media/1364811Z/hc215w9b-monitor-34872027395-ft-rgb-jpg.jpg","",""
"PFMDE003","3M Privacy Filter for Dell™ OptiPlex 7440 All-In-One               ","3M Privacy Filter for Dell™ OptiPlex 7440 All-In-One               ","Microlouver technology delivers world-class effective ""black out"" privacy from side views outside the 60-degree viewing angle","Ultra-thin and ultra-responsive to the touch, our thinnest privacy filter provides privacy and consistent touch responsiveness without getting in the way of using your device","Incredible image clarity","Great for high-resolution screens with higher pixel density","Notice fewer fingerprints and more of what’s on your screen ","Satin-like matte finish is smooth to the touch","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","16:9","Landscape","Widescreen","00051128008089","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg","",""
"AGMDE001 ","3M Anti-Glare Filter for Dell™ OptiPlex 3240 All-In-One","3M Anti-Glare Filter for Dell™ OptiPlex 3240 All-In-One","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Ultra-thin and ultra-responsive to the touch, our anti-glare filter provides consistent touch responsiveness without getting in the way of using your device","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips","Custom-cut for your device","100% hand inspected for quality assurance","","","16:9","Landscape","Widescreen","00051128008096","http://multimedia.3m.com/mws/media/1260451Z/genericmonitor-antiglare-bty-rgb-jpg.jpg","",""
"AGMDE002  ","3M Anti-Glare Filter for Dell™ OptiPlex 7440 All-In-One         ","3M Anti-Glare Filter for Dell™ OptiPlex 7440 All-In-One         ","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Ultra-thin and ultra-responsive to the touch, our anti-glare filter provides consistent touch responsiveness without getting in the way of using your device","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips","Custom-cut for your device","100% hand inspected for quality assurance","","","16:9","Landscape","Widescreen","00051128008102","http://multimedia.3m.com/mws/media/1260451Z/genericmonitor-antiglare-bty-rgb-jpg.jpg","",""
