"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Aspect Ratio
","Orientation
","Screen Format
","UPC ","Image URL","Additional Image URL",""
"PF133C3B","3M™ Privacy Filter for 13.3"" Standard Laptop","3M™ Privacy Filter for 13.3"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","4:3","Landscape","Standard","00051138752545","http://multimedia.3m.com/mws/media/1392627Z/pf133c3b-wslaptop.jpg","",""
"PF121C3B","3M™ Privacy Filter for 12.1"" Standard Laptop","3M™ Privacy Filter for 12.1"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","4:3","Landscape","Standard","00051138752552","http://multimedia.3m.com/mws/media/1392592Z/pf121c3b-wslaptop.jpg","",""
"PF150C3B","3M™ Privacy Filter for 15"" Standard Laptop","3M™ Privacy Filter for 15"" Standard Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","4:3","Landscape","Standard","00051128720882","http://multimedia.3m.com/mws/media/1392692Z/pf150c3b-wslaptop.jpg","",""
"PF181C4B","3M™ Privacy Filter for 18.1"" Standard Monitor","3M™ Privacy Filter for 18.1"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","5:4","Landscape","Standard","00051128723043","http://multimedia.3m.com/mws/media/1362943Z/pf181c4b-monitor-34871994850-ft-rgb-jpg.jpg","",""
"PF170C4B","3M™ Privacy Filter for 17"" Standard Monitor","3M™ Privacy Filter for 17"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","5:4","Landscape","Standard","00051128742013","http://multimedia.3m.com/mws/media/1392968Z/pf170c4b-stdmonitor.jpg","",""
"PF190C4B","3M™ Privacy Filter for 19"" Standard Monitor","3M™ Privacy Filter for 19"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","5:4","Landscape","Standard","00051128744802","http://multimedia.3m.com/mws/media/1362951Z/pf190c4b-monitor-34871994959-ft-rgb-jpg.jpg","",""
"PF154W1B","3M™ Privacy Filter for 15.4"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 15.4"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:10","Landscape","Widescreen","00051128773154","http://multimedia.3m.com/mws/media/1392697Z/pf154w1b-wslaptop.jpg","",""
"PF121W1B","3M™ Privacy Filter for 12.1"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 12.1"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:10","Landscape","Widescreen","00051128774342","http://multimedia.3m.com/mws/media/1392599Z/pf121w1b-wslaptop.jpg","",""
"PF141W1B","3M™ Privacy Filter for 14.1"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 14.1"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:10","Landscape","Widescreen","00051128774359","http://multimedia.3m.com/mws/media/1392680Z/pf141w1b-wslaptop.jpg","",""
"PF170W1B","3M™ Privacy Filter for 17"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 17"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:10","Landscape","Widescreen","00051128774366","http://multimedia.3m.com/mws/media/1392577Z/pf101w9b-wslaptop.jpg","",""
"PF201C3B","3M™ Privacy Filter for 20.1"" Standard Monitor","3M™ Privacy Filter for 20.1"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","4:3","Landscape","Standard","00051128774960","http://multimedia.3m.com/mws/media/1362973Z/pf201c3b-monitor-34871994991-ft-rgb-jpg.jpg","",""
"PF190W1B","3M™ Privacy Filter for 19"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 19"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128786147","http://multimedia.3m.com/mws/media/1362961Z/pf190w1b-monitor-34871994967-ft-rgb-jpg.jpg","",""
"PF201W1B","3M™ Privacy Filter for 20.1"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 20.1"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128786154","http://multimedia.3m.com/mws/media/1362980Z/pf201w1b-monitor-34871995006-ft-rgb-jpg.jpg","",""
"PF220W1B","3M™ Privacy Filter for 22"" Widescreen Monitor","3M™ Privacy Filter for 22"" Widescreen Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787144","http://multimedia.3m.com/mws/media/1362993Z/pf220w1b-monitor-34871995055-ft-rgb-jpg.jpg","",""
"PF133W1B","3M™ Privacy Filter for 13.3"" Widescreen Laptop (16:10)","3M™ Privacy Filter for 13.3"" Widescreen Laptop (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:10","Landscape","Widescreen","00051128787151","http://multimedia.3m.com/mws/media/1392641Z/pf133w1b-wslaptop.jpg","",""
"PF216W1B","3M™ Privacy Filter for 21.6"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 21.6"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787229","http://multimedia.3m.com/mws/media/1362987Z/pf216w1b-monitor-34871995048-ft-rgb-jpg.jpg","",""
"PF213C3B","3M™ Privacy Filter for 21.3"" Standard Monitor","3M™ Privacy Filter for 21.3"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","4:3","Landscape","Standard","00051128787236","http://multimedia.3m.com/mws/media/1362981Z/pf213c3b-monitor-34871995014-ft-rgb-jpg.jpg","",""
"PF240W1B","3M™ Privacy Filter for 24"" Widescreen  Monitor (16:10)","3M™ Privacy Filter for 24"" Widescreen  Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787281","http://multimedia.3m.com/mws/media/1363009Z/pf240w1b-monitor-34871995105-ft-rgb-jpg.jpg","",""
"PF260W1B","3M™ Privacy Filter for 26"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 26"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787298","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg","",""
"PF270W1B","3M™ Privacy Filter for 27"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 27"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787304","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg","",""
"PF280W1B","3M™ Privacy Filter for 28"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 28"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787311","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg","",""
"PF300W1B","3M™ Privacy Filter for 30"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 30"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787328","http://multimedia.3m.com/mws/media/1335595Z/monitors-34871995022-bty-cmyk-jpg.jpg","",""
"PF101W9B","3M™ Privacy Filter for 10.1"" Widescreen Laptop","3M™ Privacy Filter for 10.1"" Widescreen Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:9","Landscape","Widescreen","00051128788462","http://multimedia.3m.com/mws/media/1392577Z/pf101w9b-wslaptop.jpg","",""
"PF140W9B","3M™ Privacy Filter for 14"" Widescreen Laptop","3M™ Privacy Filter for 14"" Widescreen Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:9","Landscape","Widescreen","00051128788493","http://multimedia.3m.com/mws/media/1392657Z/pf140w9b-wslaptop.jpg","",""
"PF156W9B","3M™ Privacy Filter for 15.6"" Widescreen Laptop","3M™ Privacy Filter for 15.6"" Widescreen Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:9","Landscape","Widescreen","00051128788509","http://multimedia.3m.com/mws/media/1392701Z/pf156w9b-wslaptop.jpg","",""
"PF173W9B","3M™ Privacy Filter for 17.3"" Widescreen Laptop","3M™ Privacy Filter for 17.3"" Widescreen Laptop","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:9","Landscape","Widescreen","00051128788516","http://multimedia.3m.com/mws/media/1392977Z/pf173w9b-wslaptop.jpg","",""
