"X_REC_SPEC","PlantMaterialKey","SalesOrganization","DistributionChannel","Material","LanguageCode","LanguageCodeDesc","SkuType","DistributionChainMaterialStatus","ItemCategoryGroup","ValidDays","NewProductFlag","EndUserRequired","ReturnDirectToVendor","ReturnLimitations","ManufacturerPartNumber","MfrMaterialKey","Manufacturer","ManufacturerDesc","MaterialType","Weight","WeightUnit","DealerPrice","RetailPrice","Cat1Desc","Cat2Desc","Subcategory","CategoryCode","SubCategoryCode","NewCategoryCode","NewSubCategoryCode","Cat3Desc","Plant","Height","Width","Length","AbcIndicator","NoReturnsFlag","OversizeFlag","MediumDesc","LongDesc1","UpcEan","MasterVendor","MasterVendorName","PromoFlag","PromoExpireDate","PromoFreePartNumber","PromoMinimumQuantity","PromoFreeQuantity","PromoPrice","PromoEffectiveDate","PromoType","EcomFreePartNumber","EcomFreeQuantity","EcomMinimumQuantity","EcomSpecPrice","EcomEffDate","EcomExpireDate","EcomPromoType","WebVisibleFlag","ClassCode","CpuCd","CurrencyCode","HeavyWeightFlag","ShipCartonFlag","PartType","DealerFlag","BackOrderSwitch","NoReturnFlag","IsESDProduct","RefurbishedFlag","PalletQuantity","DirectShipOrderable","VendorInfoRequired","RestrictedFlag","WarrantyProduct","WeightDetails","SubMaterial","SubRule","QuantityBreakFlag","StatusCD","InvisibleFlag","Webswitch","DeleteFlag","RecordDate","UpdatedDate","HasModified","WebVisibleFlagMode","DeleteFlagMode","FiscalClass","EndlessAisleFlag","OriginalMaterial","VEN_END_USER_FLAG","DiscountIndicator","ResellerFlag","VMF_AUTH_REQ","Duplicate"
"US01@@9500@@10@@6G1729","US01@@6G1729","9500","10","6G1729","","","","","","","","N","","","MPPAP010","3705@@MPPAP010@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.1","EA","21","0","99","30","9930","0","99","1","99","","US01","","","","C","","","PRIVACY FILTER FOR IPHONE 6PLUS","PRIVACY FILTER FOR IPHONE 6PLUS 6S PLUS AND 7 PLUS POTRAIT","51128007488","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","PROT","","US01@@.1@@EA","","","","","","Y","1","11/15/2017 16:00","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@3E8046","US01@@3E8046","9500","10","INF","","","","","","","","N","","","PFNAP003","3705@@PFNAP003@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.55","EA","32.75","0","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR 15IN APPLE","PRIVACY FILTER FOR 15IN APPLE FOR MACBOOK PRO 15 RETINA BLACK","51128004715","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.55@@EA","","","","","","Y","1","1/11/2018 16:18","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@BX0174","US01@@BX0174","9500","10","BX0174","","","","","","","","N","","","GF141W1B","3705@@GF141W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.15","EA","43.25","85","99","40","9940","0","99","51","1","","US01","","","","C","","","GOLD PRIVACY FILTER 14.1IN WS","GOLD PRIVACY FILTER 14.1IN WS UNFRAMED FOR LAPTOP","51128788844","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.15@@EA","","","","","","Y","1","1/1/2018 1:36","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Y94404","US01@@Y94404","9500","10","Y94404","","","","","","","","N","","","EM550GPS","U227@@EM550GPS@@","U227","3M - WORKSPACE SOLUTIONS","","0.56","EA","67.5","132.3","33","60","3360","0","99","57","98","","US01","","","","B","","","ERGO OPTICAL MOUSE WIRELESS USB","ERGO OPTICAL MOUSE WIRELESS USB SMALL BLACK","51111025703","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","WRLS","","US01@@.56@@EA","","","","","","Y","1","9/4/2017 6:29","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@8K0213","US01@@8K0213","9500","10","8K0213","","","","","","","","N","","","PFNAP007","3705@@PFNAP007@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.5","EA","31.75","0","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR MACBOOK PRO","PRIVACY FILTER FOR MACBOOK PRO 13IN 2016 MODEL","51128007617","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.5@@EA","","","","","","Y","1","11/15/2017 16:00","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@9U1951","US01@@9U1951","9500","10","9U1951","","","","","","","","N","","","HC270W9B","3705@@HC270W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","1.6","EA","165.5","0","99","40","9940","0","99","51","1","","US01","","","","B","","","HIGH CLARITY PRIVACY FILTER","HIGH CLARITY PRIVACY FILTER 27IN WS 16:9 MONITOR","51128008041","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@1.6@@EA","","","","","","Y","1","12/15/2017 10:14","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@9U2905","US01@@9U2905","9500","10","9U2905","","","","","","","","N","","","HC240W1B","3705@@HC240W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.85","EA","101.5","0","99","40","9940","0","99","51","1","","US01","","","","B","","","HIGH CLARITY PRIVACY FILTER FOR","HIGH CLARITY PRIVACY FILTER FOR 24IN WS 16:10 MONITOR","51128007754","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.85@@EA","","","","","","Y","1","12/31/2017 15:12","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@3F3257","US01@@3F3257","9500","10","3F3257","","","","","","","","N","","","AG173W9B","3705@@AG173W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.55","EA","28.75","0","99","40","9940","0","99","51","1","","US01","","","","C","","","ANTI-GLARE FILTER FOR 17.3IN WS","ANTI-GLARE FILTER FOR 17.3IN WS 16:9 FOR DISPLAYS","51128006009","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.55@@EA","","","","","","Y","1","7/18/2017 10:32","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@XP5277","US01@@XP5277","9500","10","XP5277","","","","","","","","N","","","DEF6X4","U227@@DEF6X4@@","U227","3M - WORKSPACE SOLUTIONS","","4.02","EA","72.75","0","10","22","1022","0","99","42","11","","US01","","","","B","","","POST IT 6X4 DRY ERASE SURFACE","POST IT 6X4 DRY ERASE SURFACE 6FT X 4FT WHITEBOARD SURFACE","51141396774","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","SUPL","","US01@@4.02@@EA","","","","","","Y","1","9/4/2017 6:26","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@V25726","US01@@V25726","9500","10","V25726","","","","","","","","N","","","PF280W1B","3705@@PF280W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","1.8","EA","146","427.5","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER 28IN WS UNFRAMED","PRIVACY FILTER 28IN WS UNFRAMED FOR NETBOOK LAPTOP AND LCD","51128787311","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@1.8@@EA","","","","","","Y","1","10/15/2017 3:07","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@N02016","US01@@N02016","9500","10","N02016","","","","","","","","N","","","PF201W1B","3705@@PF201W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.95","EA","83.5","167.84","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER 20.1IN WS","PRIVACY FILTER 20.1IN WS UNFRAMED FOR LAPTOP AND LCD","51128786154","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.95@@EA","","","","","","Y","1","9/24/2017 8:49","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@DC8114","US01@@DC8114","9500","10","DC8114","","","","","","","","N","","","PF133W9B","3705@@PF133W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.35","EA","32","72.08","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR 13.3IN WS","PRIVACY FILTER FOR 13.3IN WS 16:9 UNFRAMED FOR LAPTOP AND LCD","51128789636","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.35@@EA","","","","","","Y","1","11/8/2017 9:29","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@DP8523","US01@@DP8523","9500","10","DP8523","","","","","","","","N","","","TL901C-20","U227@@TL901C-20@@","U227","3M - WORKSPACE SOLUTIONS","","3.55","EA","32.25","58.25","07","35","0735","0","99","9","22","","US01","","","","B","","","THERMAL LAMINATOR BUNDLE 9IN","THERMAL LAMINATOR BUNDLE 9IN W/20 8.5X11 POUCHES(TP3854)","51135209714","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@3.55@@EA","","","","","","Y","1","7/18/2017 10:57","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CC4548","US01@@CC4548","9500","10","CC4548","","","","","","","","N","","","GF140W9B","3705@@GF140W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.3","EA","43.25","88.95","99","40","9940","0","99","51","1","","US01","","","","B","","","GOLD PRIVACY FLTER 14IN WS 16:9","GOLD PRIVACY FLTER 14IN WS 16:9 UNFRAMED FOR LAPTOP","51128788875","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.3@@EA","","","","","","Y","1","7/18/2017 10:55","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@V58084","US01@@V58084","9500","10","V58084","","","","","","","","N","","","PF156W9B","3705@@PF156W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.3","EA","39","87.97","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR 15.6IN WS","PRIVACY FILTER FOR 15.6IN WS 16:9 UNFRAMED FOR LAPTOP AND LCD","51128788509","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.3@@EA","","","","","","Y","1","10/2/2017 19:39","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@880329","US01@@880329","9500","10","880329","","","","","","","","N","","","DL1051-P","U227@@DL1051-P@@","U227","3M - WORKSPACE SOLUTIONS","","18.75","EA","215","463.03","10","22","1022","0","99","8","99","","US01","","","","B","","","LAMINATING SYSTEM CARTRIDGE","LAMINATING SYSTEM CARTRIDGE 250FT HEAT FREE LAMINATOR","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","SUPL","","US01@@18.75@@EA","","","","","","Y","1","1/9/2018 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CM2792","US01@@CM2792","9500","10","CM2792","","","","","","","","N","","","C7248MY","U227@@C7248MY@@","U227","3M - WORKSPACE SOLUTIONS","","10","EA","155.5","296.81","33","60","3360","0","99","57","98","","US01","","","","S","","","CORK BULLETIN BOARD 72X48","CORK BULLETIN BOARD 72X48 MAHOGANY FINISH FRAME","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@10@@EA","","","","","","Y","1","10/27/2017 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CM2779","US01@@CM2779","9500","10","CM2779","","","","","","","","N","","","P4836A","U227@@P4836A@@","U227","3M - WORKSPACE SOLUTIONS","","25","EA","163.5","377.64","33","60","3360","0","99","57","98","","US01","","","","S","","","DRY ERASE BOARD PORCELAIN 48X36","DRY ERASE BOARD PORCELAIN 48X36 ALUMINUM FRAME MAGNETIC","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@25@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@DC9492","US01@@DC9492","9500","10","DC9492","","","","","","","","N","","","P4836FA","U227@@P4836FA@@","U227","3M - WORKSPACE SOLUTIONS","","19.86","EA","180","414.59","33","60","3360","0","99","57","98","","US01","","","","S","","","DRY ERASE BOARD PORCELAIN FULL","DRY ERASE BOARD PORCELAIN FULL ALUM FRAME MAGNETIC 48INX36IN","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@19.86@@EA","","","","","","Y","1","12/10/2017 15:09","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CA1341","US01@@CA1341","9500","10","CA1341","","","","","","","","N","","","M4836FMY","U227@@M4836FMY@@","U227","3M - WORKSPACE SOLUTIONS","","15","EA","86.75","160.67","33","60","3360","0","99","57","98","","US01","","","","S","","","DRY ERASE BOARD MELAMINE","DRY ERASE BOARD MELAMINE MAHOGANY FINISH 48INX36IN","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@15@@EA","","","","","","Y","1","10/30/2017 19:02","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CA1336","US01@@CA1336","9500","10","CA1336","","","","","","","","N","","","M2418FMY","U227@@M2418FMY@@","U227","3M - WORKSPACE SOLUTIONS","","5.98","EA","37.25","67.94","33","60","3360","0","99","57","98","","US01","","","","S","","","DRY ERASE BOARD MELAMINE","DRY ERASE BOARD MELAMINE MAHOGANY FINISH 24IN X 18IN","1.00E+13","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","PERP","","US01@@5.98@@EA","","","","","","Y","1","10/11/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@TW5093","US01@@TW5093","9500","10","TW5093","","","","","","","","N","","","WR308-GR","U227@@WR308-GR@@","U227","3M - WORKSPACE SOLUTIONS","","1.04","EA","12.75","26.48","99","10","9910","0","99","51","46","","US01","","","","C","","","KEYBOARD WRIST REST GEL","KEYBOARD WRIST REST GEL GREEN CHEVRON","51141370743","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@1.04@@EA","","","","","","Y","1","10/24/2017 14:17","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@LL9605","US01@@LL9605","9500","10","LL9605","","","","","","","","N","","","PF250W9B","3705@@PF250W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","1.8","EA","90.75","207.76","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER 25IN WS 16:9","PRIVACY FILTER 25IN WS 16:9 UNFRAMED FOR LAPTOP AND LCD","51128799864","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@1.8@@EA","","","","","","Y","1","12/18/2017 11:16","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@3E8048","US01@@3E8048","9500","10","INF","","","","","","","","N","","","PFNAP006","3705@@PFNAP006@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.28","EA","25.75","0","99","40","9940","0","99","51","1","","US01","","","","C","","","PRIVACY FILTER FOR 11IN APPLE","PRIVACY FILTER FOR 11IN APPLE FOR MACBOOK AIR 11","51128826539","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.28@@EA","","","","","","Y","1","7/18/2017 10:32","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@TL3747","US01@@TL3747","9500","10","TL3747","","","","","","","","N","","","PF195W9B","3705@@PF195W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.65","EA","67.75","155.03","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER 19.5IN WS 16:9","PRIVACY FILTER 19.5IN WS 16:9 FOR LAPTOP AND LCD","51128830826","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.65@@EA","","","","","","Y","1","10/19/2017 6:35","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CC4549","US01@@CC4549","9500","10","CC4549","","","","","","","","N","","","GF170W1B","3705@@GF170W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.1","EA","69.75","145.2","99","40","9940","0","99","51","1","","US01","","","","C","","","GOLD PRIVACY FILTER 17IN WS","GOLD PRIVACY FILTER 17IN WS UNFRAMED FOR LAPTOP","51128788882","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","C","","","","","","","","","","","99999","","","ACCS","","US01@@.1@@EA","","","","","","Y","1","1/1/2018 1:36","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@2R3069","US01@@2R3069","9500","10","2R3069","","","","","","","","N","","","PFNDE002","3705@@PFNDE002@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.3","EA","31","0","99","40","9940","0","99","1","53","","US01","","","","B","","","PRIVACY FILTER FOR LATITUDE12","PRIVACY FILTER FOR LATITUDE12 E7250","51128832028","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.3@@EA","","","","","","Y","1","9/15/2017 14:55","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@1C2228","US01@@1C2228","9500","10","1C2228","","","","","","","","N","","","MPPAP003","3705@@MPPAP003@@I","3705","3M - OPTICAL SYSTEMS DIVISION","I","0.1","EA","9.75","0","99","30","9930","0","99","1","99","","US01","","","","G","","","APPLE ONLY PRIVACY SCREEN FOR","APPLE ONLY PRIVACY SCREEN FOR IPHONE 6","51128004487","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","G","","","","","I","","","","","","99999","","","PROT","","US01@@.1@@EA","","","","","A","Y","1","9/9/2017 1:50","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@1C2229","US01@@1C2229","9500","10","1C2229","","","","","","","","N","","","MPPAP004","3705@@MPPAP004@@I","3705","3M - OPTICAL SYSTEMS DIVISION","I","0.09","EA","11","29.95","99","30","9930","0","99","1","99","","US01","","","","G","","","APPLE ONLY PRIVACY SCREEN FOR","APPLE ONLY PRIVACY SCREEN FOR IPHONE 6 PLUS","51128004494","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","G","","","","","I","","","","","","99999","","","PROT","","US01@@.09@@EA","","","","","A","Y","1","1/17/2018 9:27","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D5747","US01@@4D5747","9500","10","4D5747","","","","","","","","N","","","AFTDE001","3705@@AFTDE001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.25","EA","16.25","0","99","20","9920","0","99","1","99","","US01","","","","S","","","ANTI GLARE FILTER FOR DELL","ANTI GLARE FILTER FOR DELL RUGGED TABLET 7202","51128007334","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.25@@EA","","","","","","Y","1","6/29/2017 15:34","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@UW7618","US01@@UW7618","9500","10","UW7618","","","","","","","","N","","","AG230W9B","3705@@AG230W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.7","EA","43.25","97.99","99","40","9940","0","99","51","1","","US01","","","","B","","","ANTI-GLARE FILTER FOR 23IN","ANTI-GLARE FILTER FOR 23IN DISPLAYS","51128830017","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.7@@EA","","","","","","Y","1","1/2/2018 15:31","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@V58087","US01@@V58087","9500","10","V58087","","","","","","","","N","","","PF215W9B","3705@@PF215W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.85","EA","83","187.77","99","40","9940","0","99","51","1","","US01","","","","A","","","PRIVACY FILTER 21.5IN WS 16:9","PRIVACY FILTER 21.5IN WS 16:9 UNFRAMED FOR LAPTOP AND LCD","51128788530","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","A","","","","","","","","","","","99999","","","ACCS","","US01@@.85@@EA","","","","","","Y","1","1/11/2018 13:10","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@V58085","US01@@V58085","9500","10","V58085","","","","","","","","N","","","PF173W9B","3705@@PF173W9B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.55","EA","60.25","137.93","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR 17.3WS","PRIVACY FILTER FOR 17.3WS 16:9 UNFRAMED FOR LAPTOP AND LCD","51128788516","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.55@@EA","","","","","","Y","1","9/8/2017 13:48","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@V25728","US01@@V25728","9500","10","V25728","","","","","","","","N","","","PF300W1B","3705@@PF300W1B@@","3705","3M - OPTICAL SYSTEMS DIVISION","","1.9","EA","175.5","484.5","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER 30IN WS UNFRAMED","PRIVACY FILTER 30IN WS UNFRAMED FOR LAPTOP AND LCD","51128787328","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@1.9@@EA","","","","","","Y","1","10/5/2017 19:03","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@2GX833","US01@@2GX833","9500","10","2GX833","","","","","","","","N","","","HCNMS001","3705@@HCNMS001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.35","EA","34","0","99","40","9940","0","99","51","1","","US01","","","","S","","","HIGH CLARITY PRIVACY FILTER","HIGH CLARITY PRIVACY FILTER MICROSOFT SURFACE BOOK","51128008270","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.35@@EA","","","","","","Y","1","1/16/2018 7:30","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@Q52815","US01@@Q52815","9500","10","Q52815","","","","","","","","N","","","573","U227@@573@@","U227","3M - WORKSPACE SOLUTIONS","","1.2","EA","4.5","8.45","10","22","1022","0","99","1","79","","US01","","","","S","","","DESK AND OFFICE CLEANER 15OZ","DESK AND OFFICE CLEANER 15OZ FOAMING AEROSOL CAN","21200103841","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","SUPL","","US01@@1.2@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@CM2172","US01@@CM2172","9500","10","CM2172","","","","","","","","N","","","LS960VAD","U227@@LS960VAD@@","U227","3M - WORKSPACE SOLUTIONS","","21.1","EA","192","411.65","07","35","0735","0","99","9","22","","US01","","","","S","","","HEAT FREE LAMINATOR 8.5IN WIDE","HEAT FREE LAMINATOR 8.5IN WIDE W/5 DL961 CARTRIDGES","21200475689","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@21.1@@EA","","","","","","Y","1","7/18/2016 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@T32809","US01@@T32809","9500","10","T32809","","","","","","","","N","","","AKT80LE","U227@@AKT80LE@@","U227","3M - WORKSPACE SOLUTIONS","","20","EA","146","302.8","99","10","9910","0","99","51","46","","US01","","","","S","","","KEYBOARD TRAY ADJUSTABLE KNOB","KEYBOARD TRAY ADJUSTABLE KNOB 17IN TRACK  MOUSE PLATFORM  GEL","21200507106","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@20@@EA","","","","","","Y","1","12/20/2017 19:01","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@TW5094","US01@@TW5094","9500","10","TW5094","","","","","","","","N","","","WR308-PL","U227@@WR308-PL@@","U227","3M - WORKSPACE SOLUTIONS","","1.06","EA","12.75","26.48","99","10","9910","0","99","51","46","","US01","","","","S","","","KEYBOARD WRIST REST GEL","KEYBOARD WRIST REST GEL BLUE PLAID","51141961484","3705","3M - OPTICAL SYSTEMS DIVISION","","0","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@1.06@@EA","","","","","","Y","1","11/20/2017 19:02","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@8B7689","US01@@8B7689","9500","10","8B7689","","","","","","","","N","","","PFMDE001","3705@@PFMDE001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.5","EA","191.5","0","99","40","9940","0","99","51","1","","US01","","","","B","","","PRIVACY FILTER FOR DELL U3415W","PRIVACY FILTER FOR DELL U3415W 34IN MONITOR","51128007518","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.5@@EA","","","","","","Y","1","1/18/2018 14:15","1/18/2018 17:39","0","1","","","","","","0","N","",""
"US01@@9500@@10@@4D2211","US01@@4D2211","9500","10","4D2211","","","","","","","","N","","","UCTDE001","3705@@UCTDE001@@","3705","3M - OPTICAL SYSTEMS DIVISION","","0.25","EA","9.75","0","99","40","9940","0","99","51","1","","US01","","","","S","","","ULTRA CLEAR SCREEN PROTECTOR","ULTRA CLEAR SCREEN PROTECTOR FOR DELL VENUE 10 PRO GLOSSY","51128004876","3705","3M - OPTICAL SYSTEMS DIVISION","","99365","","","","","","","","","","","","","","1","S","","","","","","","","","","","99999","","","ACCS","","US01@@.25@@EA","","","","","","Y","1","8/15/2016 12:21","1/18/2018 17:39","0","1","","","","","","0","N","",""
